"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"1","V Kohli","2009-2019",217,209,37,10374,"183","60.31",11137,93.14,39,48,12,963,113,NA
"2","RG Sharma","2009-2019",166,161,22,7171,"264","51.58",7975,89.91,22,35,10,631,211,NA
"3","MS Dhoni","2009-2019",208,169,51,6214,"139*","52.66",7249,85.72,6,42,4,476,126,NA
"4","S Dhawan","2010-2019",123,122,7,5178,"137","45.02",5539,93.48,15,27,4,642,64,NA
"5","SK Raina","2009-2018",166,143,26,4182,"110*","35.74",4278,97.75,3,27,11,351,95,NA
"6","AM Rahane","2011-2018",90,87,3,2962,"111","35.26",3767,78.63,3,24,6,293,33,NA
"7","G Gambhir","2009-2013",78,74,5,2814,"150*","40.78",3253,86.5,5,20,7,279,6,NA
"8","SR Tendulkar","2009-2012",41,40,3,1986,"200*","53.67",2115,93.9,7,6,0,223,25,NA
"9","V Sehwag","2009-2013",51,50,2,1980,"219","41.25",1656,119.56,5,5,3,267,40,NA
"10","Yuvraj Singh","2009-2017",77,69,10,1951,"150","33.06",2308,84.53,3,13,7,217,40,NA
"11","RA Jadeja","2009-2019",146,97,32,1930,"87","29.69",2265,85.2,0,9,5,150,36,NA
"12","AT Rayudu","2013-2019",52,47,14,1661,"124*","50.33",2084,79.7,3,10,3,141,30,NA
"13","KD Karthik","2009-2019",65,57,16,1408,"79","34.34",1885,74.69,0,7,4,144,13,NA
"14","KM Jadhav","2014-2019",54,35,12,1002,"120","43.56",938,106.82,2,4,2,104,18,NA
"15","HH Pandya","2016-2019",45,29,4,731,"83","29.24",627,116.58,0,4,2,48,36,NA
"16","R Ashwin","2010-2017",111,61,19,675,"65","16.07",776,86.98,0,1,6,59,6,NA
"17","YK Pathan","2009-2012",40,30,7,631,"123*","27.43",544,115.99,2,1,4,48,35,NA
"18","PA Patel","2010-2012",24,24,2,604,"95","27.45",736,82.06,0,4,1,66,7,NA
"19","B Kumar","2012-2019",103,47,15,476,"53*","14.87",641,74.25,0,1,7,41,6,NA
"20","MK Pandey","2015-2018",23,18,6,440,"104*","36.66",479,91.85,1,2,2,37,4,NA
"21","M Vijay","2010-2015",17,16,0,339,"72","21.18",506,66.99,0,1,0,33,3,NA
"22","Harbhajan Singh","2009-2015",56,32,9,326,"49","14.17",392,83.16,0,0,7,17,14,NA
"23","KL Rahul","2016-2018",13,12,3,317,"100*","35.22",393,80.66,1,2,1,25,5,NA
"24","R Dravid","2009-2011",11,10,0,304,"76","30.40",422,72.03,0,2,0,20,2,NA
"25","MK Tiwary","2011-2015",11,11,1,285,"104*","28.50",387,73.64,1,1,0,24,3,NA
"26","P Kumar","2009-2012",50,24,9,236,"54*","15.73",257,91.82,0,1,2,22,7,NA
"27","STR Binny","2014-2015",14,11,3,230,"77","28.75",246,93.49,0,1,1,23,5,NA
"28","SS Iyer","2017-2018",6,5,0,210,"88","42.00",218,96.33,0,2,0,22,3,NA
"29","AR Patel","2014-2017",38,20,6,181,"38","12.92",190,95.26,0,0,3,8,8,NA
"30","IK Pathan","2011-2012",13,9,3,176,"47","29.33",180,97.77,0,0,0,15,4,NA
"31","RV Uthappa","2014-2015",8,8,1,148,"50","21.14",176,84.09,0,1,1,13,3,NA
"32","Mohammed Shami","2013-2019",59,26,13,118,"25","9.07",137,86.13,0,0,4,8,6,NA
"33","Z Khan","2009-2012",43,14,0,96,"24","6.85",161,59.62,0,0,3,11,1,NA
"34","R Vinay Kumar","2010-2013",31,13,4,86,"27*","9.55",146,58.9,0,0,2,5,2,NA
"35","UT Yadav","2010-2018",75,24,14,79,"18*","7.90",134,58.95,0,0,4,8,1,NA
"36","Kuldeep Yadav","2017-2019",39,14,9,78,"19","15.60",139,56.11,0,0,1,6,0,NA
"37","FY Fazal","2016-2016",1,1,1,55,"55*","-",61,90.16,0,1,0,7,1,NA
"38","I Sharma","2009-2016",55,21,9,55,"13","4.58",161,34.16,0,0,5,5,0,NA
"39","A Nehra","2009-2011",48,20,7,54,"16*","4.15",122,44.26,0,0,3,4,1,NA
"40","A Mithun","2010-2011",5,3,0,51,"24","17.00",55,92.72,0,0,0,2,4,NA
