,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
1,RA Jadeja,2009-2019,146,142,1232.1,49,6015,171,May-36,35.17,4.88,43.2,7,1,NA
2,R Ashwin,2010-2017,111,109,1003.3,35,4937,150,25-Apr,32.91,4.91,40.1,1,0,NA
3,B Kumar,2012-2019,103,102,820.5,65,4094,114,May-42,35.91,4.98,43.2,3,1,NA
4,Mohammed Shami,2013-2019,59,58,499.3,31,2738,108,Apr-35,25.35,5.48,27.7,6,0,NA
5,UT Yadav,2010-2018,75,73,593,23,3565,106,Apr-31,33.63,6.01,33.5,4,0,NA
6,JJ Bumrah,2016-2018,44,44,368.4,26,1639,78,27-May,21.01,4.44,28.3,4,1,NA
7,I Sharma,2009-2016,55,54,423,23,2469,78,Apr-34,31.65,5.83,32.5,3,0,NA
8,Kuldeep Yadav,2017-2019,39,37,333,10,1590,77,25-Jun,20.64,4.77,25.9,4,1,NA
9,YS Chahal,2016-2019,40,39,352.1,12,1692,71,Jun-42,23.83,4.8,29.7,1,2,NA
10,Harbhajan Singh,2009-2015,56,54,493.5,11,2313,67,May-56,34.52,4.68,44.2,0,1,NA
11,A Nehra,2009-2011,48,48,362.3,15,2122,65,Apr-40,32.64,5.85,33.4,3,0,NA
12,A Mishra,2009-2016,33,32,305.3,18,1444,62,Jun-48,23.29,4.72,29.5,2,2,NA
13,Z Khan,2009-2012,43,42,366.2,19,1919,61,20-Mar,31.45,5.23,36,0,0,NA
14,P Kumar,2009-2012,50,49,383.3,31,2031,51,22-Mar,39.82,5.29,45.1,0,0,NA
15,AR Patel,2014-2017,38,35,318,13,1409,45,Mar-34,31.31,4.43,42.4,0,0,NA
16,HH Pandya,2016-2019,45,44,315.4,4,1748,44,31-Mar,39.72,5.53,43,0,0,NA
17,Yuvraj Singh,2009-2017,77,51,315,5,1598,43,31-May,37.16,5.07,43.9,0,1,NA
18,MM Patel,2009-2011,32,30,230.5,11,1232,40,29-Apr,30.8,5.33,34.6,2,0,NA
19,R Vinay Kumar,2010-2013,31,31,239.2,19,1423,38,30-Apr,37.44,5.94,37.7,1,0,NA
20,SK Raina,2009-2018,166,93,332,5,1693,35,Mar-34,48.37,5.09,56.9,0,0,NA
21,MM Sharma,2013-2015,26,25,186.5,12,1020,31,22-Apr,32.9,5.45,36.1,1,0,NA
22,YK Pathan,2009-2012,40,35,182.4,3,1003,26,Mar-49,38.57,5.49,42.1,0,0,NA
23,KM Jadhav,2014-2019,54,31,158.5,1,789,25,23-Mar,31.56,4.96,38.1,0,0,NA
24,IK Pathan,2011-2012,13,13,110.1,4,596,21,May-61,28.38,5.4,31.4,1,1,NA
25,STR Binny,2014-2015,14,12,81.4,4,439,20,4-Jun,21.95,5.37,24.5,0,1,NA
26,DS Kulkarni,2014-2016,12,12,99.4,5,508,19,Apr-34,26.73,5.09,31.4,1,0,NA
27,S Sreesanth,2010-2011,12,12,91.5,2,652,16,Apr-47,40.75,7.09,34.4,1,0,NA
28,AB Dinda,2010-2013,13,13,99,2,612,12,Feb-44,51,6.18,49.5,0,0,NA
29,VR Aaron,2011-2014,9,9,63.2,1,419,11,24-Mar,38.09,6.61,34.5,0,0,NA
30,KK Ahmed,2018-2019,8,8,63,2,338,11,13-Mar,30.72,5.36,34.3,0,0,NA
31,PP Ojha,2010-2012,9,8,66,0,316,9,Mar-36,35.11,4.78,44,0,0,NA
32,V Sehwag,2009-2013,51,17,62.5,1,322,9,6-Apr,35.77,5.12,41.8,1,0,NA
33,RP Singh,2009-2011,11,10,67,3,408,9,Mar-59,45.33,6.08,44.6,0,0,NA
34,RG Sharma,2009-2019,166,28,77,0,417,8,27-Feb,52.12,5.41,57.7,0,0,NA
35,JD Unadkat,2013-2013,7,7,52,5,209,8,Apr-41,26.12,4.01,39,1,0,NA
36,BB Sran,2016-2016,6,6,50.2,2,269,7,Mar-56,38.42,5.34,43.1,0,0,NA
37,R Sharma,2011-2012,4,4,34.2,0,177,6,Mar-43,29.5,5.15,34.3,0,0,NA
38,SN Thakur,2017-2018,5,5,35.5,0,218,6,Apr-52,36.33,6.08,35.8,1,0,NA
39,MK Tiwary,2011-2015,11,6,22,1,150,5,Apr-61,30,6.81,26.4,1,0,NA
40,PP Chawla,2011-2011,4,4,35,0,206,4,Feb-47,51.5,5.88,52.5,0,0,NA
41,V Kohli,2009-2019,217,48,106.5,1,665,4,15-Jan,166.25,6.22,160.2,0,0,NA
42,A Mithun,2010-2011,5,5,30,1,203,3,Feb-32,67.66,6.76,60,0,0,NA
43,AT Rayudu,2013-2019,52,9,20.1,1,124,3,5-Jan,41.33,6.14,40.3,0,0,NA
44,S Tyagi,2009-2010,4,4,27.3,4,144,3,15-Jan,48,5.23,55,0,0,NA
45,Parvez Rasool,2014-2014,1,1,10,0,60,2,Feb-60,30,6,30,0,0,NA
46,DL Chahar,2018-2018,1,1,4,0,37,1,Jan-37,37,9.25,24,0,0,NA
47,R Dhawan,2016-2016,3,3,25,0,160,1,Jan-74,160,6.4,150,0,0,NA
48,MS Dhoni,2009-2019,208,2,6,0,31,1,14-Jan,31,5.16,36,0,0,NA
49,M Vijay,2010-2015,17,2,6,0,37,1,19-Jan,37,6.16,36,0,0,NA
50,Washington Sundar,2017-2017,1,1,10,0,65,1,Jan-65,65,6.5,60,0,0,NA
51,MG Johnson,2009-2015,103,100,853.1,48,4119,165,Jun-31,24.96,4.82,31,7,1,NA
52,MA Starc,2010-2018,75,75,626.5,34,3109,145,28-Jun,21.44,4.95,25.9,9,5,NA
53,SR Watson,2009-2015,118,95,609.3,20,3095,98,Apr-36,31.58,5.07,37.3,1,0,NA
54,CJ McKay,2009-2014,59,59,494.1,38,2364,97,28-May,24.37,4.78,30.5,4,2,NA
55,JP Faulkner,2013-2017,69,67,535.1,12,2962,96,Apr-32,30.85,5.53,33.4,4,0,NA
56,B Lee,2009-2012,48,47,388.4,28,1922,77,May-49,24.96,4.94,30.2,3,1,NA
57,JR Hazlewood,2010-2018,44,43,382.2,25,1811,72,Jun-52,25.15,4.73,31.8,1,3,NA
58,PJ Cummins,2011-2018,42,42,364,19,1933,65,24-Apr,29.73,5.31,33.6,4,0,NA
59,DE Bollinger,2009-2011,39,39,323.4,28,1482,62,May-35,23.9,4.57,31.3,3,2,NA
60,XJ Doherty,2010-2015,60,56,465.2,17,2224,55,28-Apr,40.43,4.77,50.7,3,0,NA
61,NM Hauritz,2009-2011,49,47,385,11,1784,52,29-Apr,34.3,4.63,44.4,1,0,NA
62,GJ Maxwell,2012-2019,90,69,336.4,7,1885,46,Apr-46,40.97,5.59,43.9,2,0,NA
